terrai_cod,terrai_nom,etnia_nome,municipio_,uf_sigla,superficie,fase_ti,modalidade,reestudo_t,superfic_1,lon,lat
44701,Tenharim do Igarapé Preto,Tenharim,Novo Aripuanã,AM,874131478,Regularizada,Tradicionalmente ocupada,,,,
44801,Tenharim Marmelos,Tenharim,"Humaitá , Manicore",AM,4975217500,Regularizada,Tradicionalmente ocupada,,,,
44901,Terena Gleba Iriri,Terena,Matupá,MT,305888088,Regularizada,Tradicionalmente ocupada,,,,
45001,Tereza Cristina,Boróro,Santo Antônio do Leverger,MT,30060,Regularizada,Tradicionalmente ocupada,,,,
45103,Itixi Mitari,Apurinã,"Anori, Beruri, Tapaua",AM,1821347750,Regularizada,Tradicionalmente ocupada,,,,
45201,Tibagy/Mococa,Kaingang,Ortigueira,PR,8599098,Regularizada,Tradicionalmente ocupada,,,,
45301,Tikúna de Feijoal,"Kokama, Tikiuna","Benjamin Constant, São Paulo de Olivença",AM,0,Regularizada,Tradicionalmente ocupada,,,,
45402,Tingui Botó,Tingui-Botó,"Campo Grande, Feira Grande",AL,535,Regularizada,Reserva Indigena,,,,
45501,Tirecatinga,Halotesu,Sapezal,MT,1305751960,Regularizada,Tradicionalmente ocupada,,,,
45601,Toldo Chimbangue,Kaingang,Chapecó,SC,9886625,Regularizada,Tradicionalmente ocupada,,,,
45701,Toldo Chimbangue II,Kaingang,Chapecó,SC,9540708,Regularizada,Tradicionalmente ocupada,,,,
45801,Toldo Imbu,Kaingang,Abelardo Luz,SC,19606934,Declarada,Tradicionalmente ocupada,,,,
45901,Torá,"Apurinã, Torá","Humaitá, Manicoré",AM,54960985,Regularizada,Tradicionalmente ocupada,,,,
46101,Trincheira,Múra,Autazes,AM,16246022,Regularizada,Tradicionalmente ocupada,,,,
46201,Trincheira Bacaja,"Araweté, Assurini do Xingu","Senador José Porfírio, São Felix do Xingu, Altamira, Anapu",PA,16509392600,Regularizada,Tradicionalmente ocupada,,,,
46301,Trocará,Asurini do Tocantins,"Baião, Tucuruí",PA,21722,Regularizada,Tradicionalmente ocupada,,,,
46302,Trocará - Doação,Asurini do Tocantins,Tucuruí,PA,14048,Regularizada,Dominial Indígena,,,,
46401,Trombetas/Mapuera,"Waimiri Atroari, Katuena, Karafawyana, Isolados, Hixkaryana, Sikiyana, Tunayana, Wai-Wai, Xereu, Katuena,","Caroebe, Faro, Nhamunda, Oriximiná, São João da Baliza, Urucurua",AM/PA/RR,3970898040,Regularizada,Tradicionalmente ocupada,,,,
46501,Truaru,"Wapixana, Makuxi","Alto Alegre, Boa Vista",RR,5652841,Regularizada,Tradicionalmente ocupada,,,,
46601,Truká,Truká,Cabrobó,PE,15928972,Regularizada,Tradicionalmente ocupada,,X,,
46602,Truká,Truká,Cabrobó,PE,5769,Declarada,Tradicionalmente ocupada,Reestudo,,,
46701,Tubarão Latunde,"Aikanã, Laiana",Chupinguaia,RO,1166133670,Regularizada,Tradicionalmente ocupada,,,,
46801,Tikuna de Santo Antonio,Tikúna,Benjamin Constant,AM,10652723,Regularizada,Tradicionalmente ocupada,,,,
